"","OrganizationVsSelf","OrganizationVsSelf2","TDDPermitted","InHouseVsConsultancy","IndividualVsManyProjects","CreatingVsMaintaining","YearsExperience","PracticeTDD","WantTDD","Attitude","AttitudeQuality1","AttitudeTime","AttitudeQuality2","AttitudeMaintainability","AttitudeEfficiency","AttitudeChangeability","SubjectiveNorm1","SubjectiveNorm2","SubjectiveNormTime","SubjectiveNormMaintainability","SubjectiveNormQuality","SubjectiveNormChangeability","TeamTDD","UnitTestDifficulty","TDDDifficulty","TDDExperience","Intention","AttitudeTimeOriginal","SubjectiveNormTimeOriginal","SubjectiveNorm","AttitudeQuality"
"1","Organization","","Yes","In-house software developer","Many projects","Both",8,"Yes","N/A",6,7,6,6,6,4,6,4,6,4,7,7,7,7,3,4,4,1,2,4,5,6.5
"2","Organization","","Yes","In-house software developer","Many projects","Both",8,"Yes","N/A",7,7,6,5,7,6,7,7,4,7,7,6,6,7,5,4,7,1,2,1,5.5,6
"3","Organization","","Yes","In-house software developer","Many projects","Both",6,"No","No",5,5,2,5,6,3,5,4,5,3,5,6,6,6,7,7,5,0,6,5,4.5,5
"4","Organization","","Yes","In-house software developer","Individual product","Creating new greenfield applications",6,"No","Yes",5,6,3,5,6,4,6,3,5,2,3,4,3,1,5,5,3,1,5,6,4,5.5
"5","Organization","","Yes","Software Development Consultancy","Individual product","Both",8,"No","Yes",6,6,4,6,6,2,4,4,6,2,4,4,4,4,1,4,5,1,4,6,5,6
"6","Organization","","Yes","In-house software developer","Individual product","Both",5,"Yes","N/A",7,7,5,7,7,4,6,6,6,6,5,7,6,6,4,5,5,1,3,2,6,7
"7","Organization","","Yes","Software Development Consultancy","Many projects","Creating new greenfield applications",2,"Yes","N/A",7,7,7,7,7,5,7,7,7,7,7,7,7,7,1,1,7,1,1,1,7,7
"8","Organization","","Yes","In-house software developer","Individual product","Creating new greenfield applications",4,"Yes","N/A",7,7,7,5,7,7,7,7,7,7,7,7,7,7,1,1,7,1,1,1,7,6
"9","Organization","","Yes","In-house software developer","Many projects","Both",3,"Yes","N/A",6,6,6,4,7,3,5,6,7,6,5,5,5,6,3,5,5,1,2,2,6.5,5
"10","Organization","","Yes","In-house software developer","Many projects","Both",25,"No","Yes",4,5,4,5,5,5,4,5,5,5,4,4,4,5,4,4,5,1,4,3,5,5
"11","Organization","","Yes","Software Development Consultancy","Many projects","Both",10,"No","Yes",5,6,3,6,5,3,5,6,6,5,4,5,3,6,7,6,3,1,5,3,6,6
"12","Organization","","Yes","In-house software developer","Many projects","Both",12,"No","N/A",4,5,1,3,5,3,4,5,5,1,5,4,4,3,1,7,7,0,7,7,5,4
"13","Organization","","Yes","In-house software developer","Many projects","Both",8,"No","Yes",7,7,4,7,7,7,7,3,5,3,6,6,6,1,1,1,5,1,4,5,4,7
"14","Organization","","Yes","In-house software developer","Many projects","Both",3,"No","Yes",6,6,7,7,6,5,6,3,6,5,5,5,5,6,5,7,1,1,1,3,4.5,6.5
"15","Organization","","Yes","In-house software developer","Many projects","Creating new greenfield applications",8,"Yes","N/A",6,7,4,5,4,5,6,4,4,2,6,5,5,6,3,2,6,1,4,6,4,6
"16","Organization","","Yes","In-house software developer","Many projects","Both",10,"No","N/A",5,6,5,4,5,6,6,4,7,4,5,4,5,4,3,5,4,0,3,4,5.5,5
"17","Organization","","Yes","In-house software developer","Many projects","Both",8,"Yes","N/A",7,7,5,6,6,4,6,5,6,3,5,6,4,5,4,4,5,1,3,5,5.5,6.5
"18","Organization","","Yes","N/A","Many projects","Creating new greenfield applications",15,"No","Yes",5,5,4,4,6,3,5,4,5,5,4,5,5,5,2,2,5,1,4,3,4.5,4.5
"19","Organization","","No","Software Development Consultancy","Individual product","Both",15,"No","No",4,5,1,4,3,2,1,2,3,2,2,3,2,2,4,4,4,0,7,6,2.5,4.5
"20","Organization","","N/A","In-house software developer","Many projects","Maintaining existing applications",4,"No","Yes",5,5,4,5,5,5,5,4,5,4,5,5,5,5,2,3,2,1,4,4,4.5,5
"21","Organization","","Yes","Software Development Consultancy","Many projects","Both",11,"No","Yes",5,6,3,5,5,5,3,4,4,3,4,4,4,5,3,3,4,1,5,5,4,5.5
